Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
3948,151307,Trash Can,Glen Eagle Trash Can,Trash Can,,4,10325,756668,12861,,"(37.7673455791, -122.485523365)"
3949,151418,Trash Can,25th & JFK Trash Can,Trash Can,,2,94426,756668,94365,,"(37.7666173267, -122.482287718)"
3950,149384,Trash Can,Sharon Meadow Trash Can,Trash Can,,10,229,756665,12797,,"(37.7695890693, -122.457275505)"
3954,149366,Trash Can,East Entrance Bathroom Trash Can,Trash Can,,1,93234,756665,12855,,"(37.7701480797, -122.454901968)"
3967,144982,Trash Can,Concrete Pathway Trash Cans,Trash Can,,3,90511,111,36285,,"(37.8017056898, -122.447917672)"
3969,144982,Trash Can,Concrete Pathway Trash Cans,Trash Can,,3,90511,111,36285,,"(37.8016761048, -122.447962671)"
3973,144982,Trash Can,Concrete Pathway Trash Cans,Trash Can,,3,90511,111,36285,,"(37.8017323338, -122.447703047)"
3974,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8019331276, -122.447423456)"
3975,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8019434948, -122.447363341)"
3976,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8021486232, -122.44713709)"
3977,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8022036373, -122.447115961)"
3978,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8026621481, -122.447037921)"
3979,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8026975656, -122.447076806)"
3980,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8030093617, -122.447104661)"
3981,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8031381668, -122.447135373)"
3982,144983,Trash Can,Turf Trash Cans,Trash Can,,1,11912,111,11768,,"(37.8041467799, -122.447413767)"
3984,144980,Trash Can,Perennial Bed Trash Cans,Trash Can,,3,90551,111,11768,,"(37.8027665277, -122.448933776)"
3993,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8040367056, -122.448668753)"
3994,144981,Trash Can,Asphalt Hardscaped Area Trash Cans,Trash Can,,10,138294,111,36285,,"(37.8040136524, -122.448753454)"
4004,144980,Trash Can,Perennial Bed Trash Cans,Trash Can,,3,90551,111,11768,,"(37.8035704568, -122.448752786)"
4029,146894,Trash Can,Brick Pathway Trash Cans,Trash Can,,4,93267,59481,59486,,"(37.7758704053, -122.424470426)"
4034,146894,Trash Can,Brick Pathway Trash Cans,Trash Can,,4,93267,59481,59486,,"(37.7759062438, -122.424257888)"
4042,146894,Trash Can,Brick Pathway Trash Cans,Trash Can,,4,93267,59481,59486,,"(37.7761789718, -122.42432389)"
4056,146895,Trash Can,Picnic Area Trash Cans,Trash Can,,1,93269,59481,93268,,"(37.7764364782, -122.424555074)"
